frame,nis
1,0.0
2,0.002824870294952614
3,0.00048135651072955343
4,0.03147249313923306
5,1.8302043271455208e-05
6,0.005339843776109134
7,0.040702199543888484
8,0.018106740440695678
9,0.0884894955199049
10,0.11391915535482358
11,0.9831816835024509
12,1.4267068013096469
13,5.466386808615754
14,6.897591203285245
15,11.130369479306752
16,7.905600672191334
17,2.690488269717491
18,0.1353328708697872
19,1.3768365495711756
20,6.300482824273534
21,17.085569188462532
22,28.344024477452745
23,30.74617020677759
24,29.64456991637714
25,18.670427139948455
26,9.787658692030178
27,5.713024629415951
28,0.46422395807592
29,0.8429357337933903
30,2.9382238807117127
31,3.6244329217281295
32,3.4033746397334186
33,0.33164641936436723
34,2.4906916000594697
35,77.16843266464447
36,258.5132499181522
37,1.0747808507596788
38,364.17116554728216
39,48.2756039687999
40,54.47200959785986
41,39.208303684395325
42,0.6781011963301625
43,3.1776301928919937
44,0.20168564544810264
45,2011.1787187525647
46,81.03072994098073
47,85.41092348419015
48,109.19451702444836
49,67.97333561950504
50,23.56615990054877
51,1.2098916560290485
52,1511.6632571745056
53,64.59395770558193
54,328.2567390859384
55,95.16922917441946
56,210.66004344856975
57,167.93747267664222
58,96.08081794978544
59,249.6751982508997
60,89.83999084397941
61,26.009666103511485
62,16.608598168776222
63,19.40282777593546
64,3.2974505549499167
65,0.5678550789359861
66,11.042762769168384
67,224.8992752028225
68,16.89120389558704
69,6.7338912079147075
70,24.385730380798144
71,16.755795953331425
72,8.49894934454242
73,6.995719314204813
74,16.659565054863688
75,18.460803113753457
76,251.8333981182344
77,9.20090510184182
78,4.312110716762094
79,2.0745642729644493
80,0.6844968647277307
81,2.711518945520573
82,6.12479817696604
83,2.0880465976415437
84,1.2476768085616645
85,5.639553832774083
86,0.3496062168435166
87,0.6611623709637495
88,0.0560162318692491
89,21.740530294590673
90,85.9294776358037
91,4.84355797479518
92,3.2889907571947408
93,45.40057074238445
94,64.69769921254024
95,2043.4737286754046
96,122.43673882140223
97,89.57629509970116
98,49.68999300080419
99,258.9536065051065
100,3.1330956287980296
101,3.5285865064468913
102,1.00852054433649
103,4.909708057590557
104,121.57695823418857
105,14.645009022223046
106,16.209853985464015
107,17.173239086781006
108,14.518543769609671
109,6.089403202064042
110,1.518360719104987
111,0.2941573890725107
112,0.263057796126221
113,0.0024723431940767756
114,0.11756208345684077
115,0.07766541666076504
116,0.17194803734012307
117,0.17186310168431598
118,0.328520180252397
119,0.1304536217354467
120,0.182287390672865
121,0.17472427064986207
122,0.184032189706681
123,0.08312683066093071
124,0.21668140092013063
125,0.42040794942651527
126,0.3267369866731864
127,0.15192518798052035
128,0.07364148503496948
129,0.163076741253405
130,0.0027907775107781094
